"Date","Open.Price","High.Price","Low.Price","Close.Price","VWAP","Volume","Spread.High.Low","Spread.Close.Open","Twitter.Publication.Count","Twitter.Positive.Sentiment","Twitter.Negative.Sentiment.Count","Twitter.Neutral.Sentiment.Count","Twitter.Sentiment.Daily.Maximum","Twitter.Sentiment.Daily.Minimum","Twitter.Sentiment.Daily.Average","News.Heat...Daily.Average.Story.Flow","News.Sentiment...Daily.Average","News.Publication...Daily.Number.of.Stories","News.Heat...Daily.Max.Readership","News.Neutral.Sentiment.Count","News.Negative.Sentiment.Count","News.Positive.Sentiment.Count","News.Publication.Count"
"27-04-2015",881,887.5,871,874.55,879.5536578,245491,16.5,-6.45,0,0,0,0,0,0,0,0.346666666666667,0.2306,22.6666666666667,0,3.66666666666667,2,5.33333333333333,48.6666666666667
"28-04-2015",875,881.75,860,865,871.3146088,477021,21.75,-10,0,0,0,0,0,0,0,1.33,-0.5713,99,0,16,14,6,168
"29-04-2015",863.4,870.95,848.3,851.25,859.4109837,309185,22.65,-12.15,3,0,0,3,0,0,0,2.08,-0.2369,239,0,31,13,15,203
"30-04-2015",851.7,865.9,848.5,862.85,857.6622451,333967,17.4,11.15,9,0,0,9,0,0,0,1.29,0.342,89,0,32,13,28,223
"04-05-2015",867,893.25,861.2,890.45,878.1538726,357224,32.05,23.45,1.44444444444444,0,0.111111111111111,1.33333333333333,0,-0.0118666666666667,-0.0118666666666667,0.0133333333333333,-0.104444444444444,14.2222222222222,0,3.77777777777778,2,2.88888888888889,46.6666666666667
"05-05-2015",893,901.75,885,890.9,893.3482095,357104,16.75,-2.1,5,1,0,4,0.1068,0,0.0191,0.67,0.32,67,0,18,7,5,108
"06-05-2015",891.05,896.4,872,879.25,881.5451105,532670,24.4,-11.8,7,0,0,7,0,0,0,0.54,-0.2708,56,0,16,7,9,109
"07-05-2015",877.3,879,860,869.4,867.5558753,439971,19,-7.9,2,0,0,2,0,0,0,0.29,0.2014,42,0,16,4,8,139
"08-05-2015",871,893.4,863.6,889.9,881.9863395,489222,29.8,18.9,8,2,0,6,0.1068,0,0.0686,0.75,0.1331,79,0,20,4,4,148
"11-05-2015",892,898.95,883.2,895.75,892.0779932,367532,15.75,3.75,4.66666666666667,1,0,3.66666666666667,0.0712,0,0.0231,0.0966666666666667,0.1122,20,0,7.33333333333333,2,6,46.3333333333333
"12-05-2015",895,895,865.25,868.35,874.1880332,373248,29.75,-26.65,0,0,0,0,0,0,0,0.29,0.4818,28,0,6,0,6,92
"13-05-2015",875,889,857.9,884.8,873.5528619,437442,31.1,9.8,11,8,0,3,0.2039,0,0.6725,1.21,0.3373,97,0,19,6,25,129
"14-05-2015",882.25,886,871,878.5,877.9636509,316156,15,-3.75,5,0,0,5,0,0,0,0.25,0.7371,32,0,15,5,17,117
"15-05-2015",881.3,886.4,871.2,873.95,877.1455313,200012,15.2,-7.35,4,0,0,4,0,0,0,0.83,0.7642,59,0,10,1,11,98
"18-05-2015",876.2,892.1,873,890.5,884.9845094,262804,19.1,14.3,2.33333333333333,0.333333333333333,0,2,0.0356,0,0.0071,0.25,0.222966666666667,22.3333333333333,0,7.33333333333333,3.33333333333333,5,58.3333333333333
"19-05-2015",892,904.95,887.1,895.5,896.0120776,399582,17.85,3.5,7,2,0,5,0.1068,0,0.0673,1.17,0.3961,104,1,34,3,20,132
"20-05-2015",900,909.5,898.9,907.4,904.4337352,301940,10.6,7.4,9,2,0,7,0.1068,0,0.0423,1.58,0.1775,125,0,58,1,20,163
"21-05-2015",910.25,915.5,894,896.9,899.1012715,485092,21.5,-13.35,16,2,1,13,0.1068,-0.1068,0.0181,1.13,0.1316,89,0,36,14,17,167
"22-05-2015",897.2,904.8,897,902.65,901.2888225,189317,7.8,5.45,3,0,0,3,0,0,0,0.42,0.0779,19,0,11,1,6,85
"25-05-2015",901.35,907.6,892.2,894.2,898.9246757,190722,15.4,-7.15,0.666666666666667,0,0,0.666666666666667,0,0,0,0.18,0.0319,15.6666666666667,0,9,0.666666666666667,1.66666666666667,37
"26-05-2015",895.5,896.5,883.2,884.65,889.8373699,154381,13.3,-10.85,4,1,0,3,0.1068,0,0.0357,0.46,-0.0628,46,0,9,3,1,85
"27-05-2015",884.1,890.8,880.75,886.95,886.0841484,188643,10.05,2.85,4,0,2,2,0,-0.2039,-0.1509,0.42,-0.0563,39,0,10,1,5,70
"28-05-2015",886.9,894,873.4,876.75,885.4594234,235493,20.6,-10.15,6,0,1,5,0,-0.1068,-0.0131,0.75,0.2967,58,0,12,6,7,97
"29-05-2015",879.5,886.5,874,877.15,880.1013573,623744,12.5,-2.35,8,0,0,8,0,0,0,0.54,-0.2609,42,0,5,3,1,127
"01-06-2015",877,904,877,901.35,898.7083425,271380,27,24.35,3.66666666666667,1,0,2.66666666666667,0.103566666666667,0,0.0782666666666667,0.656666666666667,0.4279,74.6666666666667,1.33333333333333,10.3333333333333,2.33333333333333,10.6666666666667,69.3333333333333
"02-06-2015",904.15,918.5,891.15,898.7,904.7303912,558053,27.35,-5.45,5,0,1,4,0,-0.1068,-0.0315,2,0.2974,138,4,53,4,40,300
"03-06-2015",899,910.35,889,895.9,898.1870918,445685,21.35,-3.1,3,0,0,3,0,0,0,0.96,0.3347,57,0,18,7,7,128
"04-06-2015",903.1,915.9,895.05,912.5,905.9074815,461778,20.85,9.4,2,1,0,1,0.1068,0,0.0965,0.67,0.0322,48,0,14,2,5,100
"05-06-2015",910,916.65,904,906.05,909.9644864,287749,12.65,-3.95,29,0,0,28,0,0,0,0.46,0.4245,46,0,11,4,9,109
"08-06-2015",908.8,910.65,883.65,885.25,894.5733756,216884,27,-23.55,8.33333333333333,0,0,8.33333333333333,0,0,0,0.18,0.473966666666667,18.3333333333333,0,6.66666666666667,2.33333333333333,10,67.3333333333333
"09-06-2015",885.25,890.5,878,883.9,884.086633,204010,12.5,-1.35,8,1,0,7,0.0704,0,0.0068,0.83,0.8761,42,1,8,3,3,95
"10-06-2015",885,909.9,885,905.9,903.0594124,289182,24.9,20.9,16,0,0,16,0,0,0,1.21,0.0934,69,2,14,9,9,122
"11-06-2015",906.9,908.95,874,877.2,886.6703681,416598,34.95,-29.7,16,0,3,12,0,-0.2039,-0.0518,1.08,-0.4515,75,4,22,13,14,176
"12-06-2015",879.3,892.5,878.85,889.15,887.881021,397129,13.65,9.85,96,6,1,89,0.2337,-0.1068,0.0048,2.75,-0.1906,405,4,107,15,89,394
"15-06-2015",893.7,904.6,890,901,900.1230406,259776,14.6,7.3,17.3333333333333,0.333333333333333,0.333333333333333,16.3333333333333,0.0356,-0.0356,-1e-04,1,0.403233333333333,64,0.666666666666667,22,8.33333333333333,20.6666666666667,117.333333333333
"16-06-2015",899.9,905.9,892.5,903.95,898.5537464,312970,13.4,4.05,7,0,0,7,0,0,0,0.75,0.3965,39,0,15,5,4,99
"17-06-2015",905,940.4,894.4,931.1,921.984773,869836,46,26.1,14,0,0,13,0,0,0,0.75,0.1701,57,4,12,3,24,143
"18-06-2015",934.4,982,933,979.05,965.1880549,1403351,49,44.65,34,10,0,23,0.2113,0,0.1332,1.5,0.8104,115,4,16,4,49,176
"19-06-2015",983,1006,983,996.5,994.6882551,1072967,23,13.5,46,15,2,25,0.3723,-0.2039,0.2506,1.42,0.926,97,1,21,8,43,196
"22-06-2015",996.9,1008.7,986.65,991.35,993.3479101,649734,22.05,-5.55,29.6666666666667,0.666666666666667,1,24,0.0712,-0.0356,-0.00816666666666667,0.42,0.151866666666667,33,0,11.6666666666667,4.66666666666667,16.6666666666667,76
"23-06-2015",992.75,1002.4,990.75,994.75,995.6517823,508162,11.65,2,3,0,0,3,0,0,0,0.54,0.8543,40,0,6,5,10,86
"24-06-2015",995.25,1006.55,986,990.75,998.8285341,659933,20.55,-4.5,0,0,0,0,0,0,0,0.71,0.7172,68,0,4,0,8,91
"25-06-2015",990.5,1009.05,985.15,1004.65,1000.653676,778667,23.9,14.15,6,2,0,4,0.1068,0,0.0836,0.88,0.451,57,0,23,3,7,95
"26-06-2015",1002.25,1013.8,995.5,999.55,1003.052459,552085,18.3,-2.7,2,0,0,2,0,0,0,0.33,0.0322,31,0,14,2,3,102
"29-06-2015",985,993.6,972.6,990.75,983.4446106,536953,21,5.75,1.66666666666667,0,1,0.666666666666667,0,-0.0679666666666667,-0.0973666666666667,0.553333333333333,-0.0438666666666667,40,0,12.3333333333333,7.66666666666667,2.66666666666667,59
"30-06-2015",990,1003.5,988,1000.45,995.0667393,488603,15.5,10.45,3,0,0,3,0,0,0,0.58,-0.3557,40,0,12,6,3,98
"01-07-2015",1002.4,1010.65,1002,1005.75,1006.51527,463792,8.65,3.35,13,1,0,9,0.4112,0,0.1032,1.13,-0.1187,89,0,26,5,13,122
"02-07-2015",1007.05,1019.95,1006.15,1010.3,1013.430464,585463,13.8,3.25,2,0,0,2,0,0,0,0.96,0.3337,74,0,17,3,15,194
"03-07-2015",1010.9,1013.5,1003.45,1006.75,1008.299691,532965,10.05,-4.15,0,0,0,0,0,0,0,0.54,0.53,41,0,8,1,6,103
"06-07-2015",1000,1018.85,996,1015.3,1009.125555,564557,22.85,15.3,1,0,0,1,0,0,0,0.223333333333333,0.0719333333333333,25,0,6.66666666666667,2.66666666666667,5,48.3333333333333
"07-07-2015",1014,1016.5,1000.3,1003.4,1008.110702,213529,16.2,-10.6,3,0,0,3,0,0,0,1.33,0.517,98,0,19,11,18,136
"08-07-2015",1000,1008.2,990.45,994.8,998.1448219,410815,17.75,-5.2,1,0,0,1,0,0,0,0.96,-0.1434,66,0,16,4,5,66
"09-07-2015",995.35,1001.45,984.3,987.3,992.5999396,404304,17.15,-8.05,16,5,0,11,0.4882,0,0.1314,0.96,0.0459,53,0,32,1,13,147
